Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
1049 50000 624000 832000 78000 156000 312000
1050 50000 416000 624000 78000 312000 416000
1051 50000 416000 624000 78000 624000 416000
1052 50000 624000 832000 78000 156000 416000
1053 50000 416000 624000 78000 312000 416000
1054 50000 416000 624000 78000 156000 312000
1055 49000 416000 624000 78000 312000 416000
1056 50000 416000 624000 78000 624000 416000
1057 51000 416000 624000 78000 624000 312000
1058 50000 624000 1057000 78000 312000 528000
1060 50000 416000 624000 78000 312000 312000
1061 50000 416000 624000 78000 156000 312000
1062 50000 416000 624000 78000 312000 312000
1063 50000 624000 832000 78000 156000 416000
1064 49000 416000 624000 78000 156000 312000
1065 49000 624000 832000 78000 312000 416000
1066 50000 416000 624000 78000 312000 312000
1067 51000 416000 624000 78000 624000 312000
1068 51000 416000 832000 78000 832000 528000
1069 51000 416000 624000 78000 624000 312000
1070 50000 624000 832000 78000 156000 416000
1071 51000 624000 832000 78000 312000 528000
1072 50000 416000 624000 78000 312000 416000
1073 51000 416000 624000 78000 312000 312000
1074 50000 624000 832000 78000 624000 312000
1075 51000 416000 624000 78000 312000 312000
1076 51000 416000 624000 78000 312000 528000
1077 50000 624000 832000 78000 312000 312000
1078 50000 416000 624000 78000 312000 416000
1079 50000 416000 624000 78000 312000 312000
1081 50000 624000 832000 78000 312000 416000
1082 50000 416000 624000 78000 156000 312000
1083 50000 416000 832000 78000 156000 312000
1084 50000 624000 832000 78000 312000 416000
1085 50000 416000 624000 78000 312000 528000
1086 50000 416000 624000 78000 312000 312000
1087 50000 624000 832000 78000 156000 312000
1088 49000 416000 624000 78000 156000 312000
1089 50000 416000 624000 78000 156000 416000
1090 50000 416000 624000 78000 156000 312000
1091 50000 624000 832000 78000 312000 416000
1092 50000 416000 624000 78000 312000 312000
1093 49000 416000 624000 78000 156000 312000
1094 51000 416000 624000 78000 624000 312000
1095 51000 624000 832000 78000 624000 416000
1096 50000 416000 624000 78000 156000 312000
1097 50000 416000 624000 78000 156000 416000
1098 50000 624000 832000 78000 312000 416000
1099 50000 416000 624000 78000 312000 416000
1101 50000 416000 624000 78000 156000 312000
1102 50000 416000 624000 78000 156000 312000
1103 50000 416000 624000 78000 156000 416000
1104 50000 416000 624000 78000 312000 312000
1105 49000 416000 832000 78000 156000 312000
1106 50000 624000 832000 78000 312000 416000
1107 50000 624000 832000 78000 312000 312000
